Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Sektor,Sistem Penjualan,Tingkat Pesaing Usaha,Proyeksi Pertumbuhan Penjualan,Kebutuhan Pembiayaan Kredit ,Nilai Aset yang data menjadi jaminan kredit,Jumlah Dokumen Persyaratan Kredit,Sasaran Produk
Pangkas Rambut,68.5,90.0,1,Lain-lain,1.0,0.0,0.1,10.0,59.0,6.0,1.0
Fotografi,185.85,84.0,3,Lain-lain,1.0,1.0,0.1,10.0,8.0,5.0,1.0
Pangkas Rambut,55.6,36.0,1,Lain-lain,1.0,0.0,0.1,5.0,6.0,5.0,1.0
Konveksi(penjahit),9.0,44.4,2,Lain-lain,1.0,1.0,0.25,5.0,3.0,4.0,0.0
Penjahit,18.5,90.0,3,Lain-lain,1.0,0.0,0.1,10.0,8.0,5.0,1.0
Salon,2.5,24.0,1,Lain-lain,1.0,2.0,0.1,10.0,60.0,5.0,1.0
Penjahit,475.8,13.5,1,Lain-lain,1.0,2.0,0.15,10.0,25.0,5.0,1.0
Jasa Jahit,38.0,144.0,3,Lain-lain,1.0,1.0,0.25,10.0,10.0,4.0,1.0
Penjahit,68.0,29.3,1,Lain-lain,1.0,2.0,0.1,5.0,65.0,4.0,1.0
Servis Jok dan Jahit,7.5,28.8,1,Lain-lain,1.0,1.0,0.1,9.0,11.0,4.0,2.0
Tailor,29.0,204.0,3,Lain-lain,1.0,1.0,0.3,0.0,340.0,7.0,2.0
Salon Umi,31.8,204.0,1,Lain-lain,1.0,1.0,0.05,10.0,5.0,5.0,1.0
Pangkas Rambut,102.0,180.0,2,Lain-lain,1.0,1.0,0.2,0.0,67.0,5.0,1.0
Jahit Pakaian,15.5,84.0,1,Lain-lain,1.0,2.0,0.1,10.0,108.0,5.0,1.0
Warnet,130.75,60.0,1,Lain-lain,1.0,1.0,0.25,10.0,98.0,4.0,0.0
"Usaha Las Pagar, Kanopi",14.0,44.0,2,Lain-lain,1.0,2.0,0.2,9.0,152.0,6.0,1.0
Ukiran Kaca,19.0,35.0,2,Lain-lain,1.0,2.0,0.2,9.0,200.0,8.0,2.0
Bengkel Las,46.5,204.0,2,Lain-lain,3.0,1.0,0.2,9.0,907.0,7.0,2.0
Penjahit,6.5,180.0,4,Lain-lain,1.0,1.0,0.1,10.0,14.0,4.0,1.0
Jahit Celana,18.6,86.4,1,Lain-lain,1.0,1.0,0.1,5.0,14.0,5.0,1.0
SERVICE HP,425.0,138.0,2,Lain-lain,3.0,1.0,0.05,5.0,440.0,5.0,2.0
Penjahit Pakaian,7.0,63.0,2,Lain-lain,1.0,1.0,0.3,2.0,0.0,3.0,1.0
Penjahit,132.0,180.0,1,Lain-lain,1.0,1.0,0.1,10.0,165.0,5.0,1.0
Penjahit,131.0,20.0,1,Lain-lain,1.0,1.0,0.2,3.0,125.0,3.0,2.0
Penjahit Pakaian,125.0,60.0,2,Lain-lain,2.0,2.0,0.2,0.0,120.0,4.0,0.0
Penjahit Pakaian Adaat,16.0,216.0,4,Lain-lain,1.0,1.0,0.2,0.0,8.0,4.0,2.0
Service Dinamo,114.0,60.0,3,Lain-lain,3.0,0.0,0.2,5.0,110.0,5.0,2.0
Jasa Warnet,159.0,48.0,1,Lain-lain,1.0,0.0,0.2,,10.0,3.0,1.0
Jasa Penjahit,0.0,0.0,1,Lain-lain,1.0,1.0,0.0,0.0,4.0,3.0,1.0
Warnet,54.5,54.0,1,Lain-lain,1.0,1.0,0.1,10.0,14.0,3.0,1.0
Jasa Jahit,54.6,102.0,1,Lain-lain,1.0,1.0,0.1,8.0,88.0,5.0,0.0
Jasa rental Internet,107.0,123.0,2,Lain-lain,1.0,1.0,0.3,10.0,150.0,5.0,1.0
Jasa Jahit,24.0,116.0,2,Lain-lain,1.0,2.0,0.1,8.0,120.0,6.0,3.0
Jahit Pakaian,75.6,140.0,1,Lain-lain,1.0,2.0,0.1,9.0,0.0,2.0,1.0
PENJAHIT PAKAIAN,2.7,17.4,1,Lain-lain,1.0,1.0,0.4,0.0,65.0,5.0,1.0
JAHITAN BAJU PRIA,60.2,5.6,3,Lain-lain,1.0,1.0,0.1,0.0,600.0,3.0,3.0
Usaha Las,13.5,94.0,1,Lain-lain,1.0,2.0,0.1,5.0,87.0,5.0,1.0
Usaha Fotokopi,21.0,70.0,1,Lain-lain,1.0,2.0,0.15,10.0,107.0,5.0,1.0
Fotocopy,911.5,234.0,2,Lain-lain,1.0,1.0,0.2,10.0,860.0,6.0,1.0
Tambal Ban,45.0,127.0,1,Lain-lain,1.0,1.0,0.1,8.0,70.0,5.0,2.0
PENJAHITAN ,52.0,112.0,2,Lain-lain,1.0,1.0,0.35,10.0,37.0,5.0,1.0
Pangkas Rambut,3.0,30.0,1,Lain-lain,1.0,1.0,0.2,10.0,14.0,5.0,1.0
Fotografi,366.2,615.0,15,Lain-lain,1.0,0.0,0.2,0.0,0.0,9.0,3.0
Jasa Pangkas Rambut,70.2,102.0,3,Lain-lain,1.0,1.0,0.15,0.0,191.0,5.0,0.0
PEMBUATAN OVEN KUE ,396.0,600.0,4,Lain-lain,1.0,2.0,0.5,0.0,247.0,8.0,1.0
BENGKEL DAN JUAL ONDERDIL MOTOR,2.246,441.0,5,Lain-lain,1.0,1.0,0.2,0.0,,9.0,0.0
Service Handphone,93.5,22.0,1,Lain-lain,1.0,0.0,0.13,5.0,60.0,4.0,1.0
Jasa penyewaan Internet,55.6,125.0,3,Lain-lain,1.0,0.0,0.2,0.0,40.0,2.0,1.0
Salon,23.5,98.0,1,Lain-lain,1.0,2.0,0.25,10.0,114.0,,1.0
Warnet,272.0,144.0,2,Lain-lain,1.0,1.0,0.2,0.0,185.0,,1.0
Jasa Servis,10.0,40.0,1,Lain-lain,1.0,2.0,0.2,0.0,10.0,6.0,1.0
Salon,1047.0,160.0,3,Lain-lain,1.0,2.0,0.3,0.0,,6.0,3.0
PENJAHITAN,113.6,300.0,11,Lain-lain,1.0,1.0,0.4,0.0,86.0,2.0,2.0
Warnet,30.0,20.0,1,Lain-lain,1.0,1.0,0.1,10.0,10.0,7.0,1.0
Bengkel Las,27.0,50.0,1,Lain-lain,1.0,0.0,0.1,5.0,10.0,7.0,2.0
PERIAS PENGANTIN,197.1,35.2,2,Lain-lain,1.0,1.0,0.05,10.0,160.0,5.0,1.0
Salon,18.2,48.0,2,Lain-lain,1.0,1.0,0.1,5.0,23.0,3.0,1.0
Salon,262.0,120.0,11,Lain-lain,1.0,1.0,0.4,0.0,212.0,9.0,1.0
JAHIT,58.62,14.4,2,Lain-lain,1.0,2.0,0.14,0.0,0.0,8.0,1.0
Konveksi,108.0,70.0,5,Lain-lain,1.0,0.0,0.2,0.0,,6.0,2.0
Jasa Jahit,44.0,36.0,1,Lain-lain,1.0,1.0,0.4,8.0,0.0,3.0,0.0
JAHITAN,48.6,38.0,4,Lain-lain,1.0,2.0,0.2,10.0,37.0,1.0,2.0
Penyewaan Pakaian Adat,299.0,6.25,2,Lain-lain,1.0,1.0,0.2,7.0,18.0,,1.0
Jasa Sewa Tenda,205.0,42.0,5,Lain-lain,1.0,2.0,0.05,5.0,30.0,,2.0
Jasa Las,19.1,210.0,2,Lain-lain,1.0,1.0,0.05,10.0,30.0,,1.0
AGEN KENDARAAN,5.5,68.0,1,Lain-lain,1.0,2.0,0.0,10.0,40.0,,1.0
RUMAH SEWA,1.2,14.0,1,Lain-lain,1.0,2.0,0.05,10.0,10.0,,2.0
TEMPAT KOST,400.0,48.0,1,Lain-lain,1.0,1.0,0.25,0.0,357.0,,1.0
Jasa rental Internet,7.0,104.0,2,Lain-lain,1.0,1.0,0.1,5.0,4.0,,1.0
Rental Playstation,660.0,48.0,1,Lain-lain,1.0,2.0,0.2,0.0,24.0,,1.0
Klinik,390.0,1.2,1,Lain-lain,1.0,1.0,0.3,0.0,470.0,9.0,1.0
Rental,19.0,108.0,3,Lain-lain,1.0,0.0,0.1,10.0,8.0,4.0,1.0
FOTO DIGITAL,54.6,83.0,2,Lain-lain,1.0,0.0,0.3,0.0,10.0,6.0,2.0
Pedagang Kerajinan,138.0,30.0,1,Lain-lain,1.0,0.0,0.2,10.0,140.0,3.0,1.0
Production House,460.0,480.0,3,Lain-lain,1.0,1.0,0.2,10.0,405.0,7.0,3.0
PS,59.5,37.0,0,Lain-lain,1.0,1.0,0.15,10.0,40.0,5.0,1.0
Rental PS,38.0,90.0,5,Lain-lain,1.0,1.0,1.0,10.0,80.0,6.0,1.0
Galeri,12.5,60.0,0,Lain-lain,1.0,2.0,0.1,8.0,20.0,3.0,1.0
Taman,169.0,0.0,2,Lain-lain,2.0,0.0,0.0,5.0,20.0,6.0,3.0
Jasa Laundry,392.0,32.0,3,Lain-lain,1.0,2.0,0.15,0.0,217.0,,2.0
Cuci Kendaraan (Mobil & Motor),529.0,117.0,6,Lain-lain,1.0,2.0,0.3,0.0,,,2.0
Penjahit,16.5,24.0,1,Lain-lain,1.0,1.0,0.1,5.0,35.0,,1.0
Laundry,189.5,172.0,2,Lain-lain,1.0,1.0,0.1,5.0,11.0,,1.0
Laundy,2.2,19.2,1,Lain-lain,1.0,1.0,0.1,5.0,10.0,,1.0
Salon Kecantikan,66.5,64.0,2,Lain-lain,1.0,0.0,0.5,10.0,15.0,,2.0
Jahit,7.5,28.8,1,Lain-lain,1.0,1.0,0.1,9.0,10.0,,2.0
Tambal Ban,633.0,68.0,1,Lain-lain,1.0,2.0,0.3,0.0,513.0,,1.0
Laundry,17.35,75.0,3,Lain-lain,1.0,1.0,0.1,,9.0,,1.0
Penjahit,39.0,14.7,0,Lain-lain,2.0,1.0,0.15,10.0,18.0,,2.0
Penjahit,95.0,78.0,2,Lain-lain,1.0,2.0,0.15,7.0,10.0,,1.0
Pengetikan Dan Foto Copy,16.0,34.0,1,Lain-lain,1.0,1.0,0.15,0.0,8.0,,1.0
Vermak Levis,10.0,26.0,1,Lain-lain,1.0,2.0,0.1,,60.0,,2.0
Penjahit Pakaian,176.75,533.0,2,Lain-lain,3.0,1.0,0.2,5.0,42.0,,2.0
Jasa Laundry,50.67,60.0,3,Lain-lain,1.0,1.0,0.3,10.0,40.0,,1.0
Menjahit Pakaian,413.0,78.0,1,Lain-lain,1.0,2.0,0.3,10.0,400.0,,2.0
Pangkas Rambut,820.0,3.776,3,Lain-lain,1.0,1.0,0.3,10.0,138.0,,1.0
Penjahit Pakaian,20.0,108.0,0,Lain-lain,1.0,1.0,0.25,8.0,10.0,,1.0
Cuci Cetak Foto,169.0,600.0,2,Lain-lain,1.0,1.0,0.2,9.0,103.0,,2.0
Laundry,42.0,72.0,2,Lain-lain,1.0,1.0,0.1,10.0,5.0,,1.0
Penjahit Pakaian,167.0,60.0,1,Lain-lain,3.0,1.0,0.25,10.0,160.0,,2.0
Penjahit Pakaian,34.0,30.0,1,Lain-lain,1.0,2.0,0.25,5.0,30.0,,1.0
Salon,80.0,38.0,0,Lain-lain,1.0,0.0,0.05,4.0,80.0,,1.0
Penjahit,116.0,72.0,1,Lain-lain,1.0,1.0,0.1,9.0,70.0,,2.0
Loundry,64.0,12.0,1,Lain-lain,1.0,2.0,0.07,10.0,180.0,,1.0
Tambal Ban Stefan,58.3,182.0,3,Lain-lain,1.0,0.0,0.1,8.0,80.0,,1.0
Jasa Vermak Levis,14.5,46.5,2,Lain-lain,1.0,2.0,0.1,8.0,100.0,,2.0
Variasi Kendaraan,82.5,63.0,2,Lain-lain,1.0,2.0,0.1,8.0,490.0,,2.0
Jasa Salon,23.0,44.0,2,Lain-lain,1.0,2.0,0.1,6.0,199.0,,1.0
PEMBUAT BATAKO,1.22,4.8,1,Lain-lain,1.0,1.0,0.05,2.0,10.0,,2.0
Penjahit,146.4,54.0,2,Lain-lain,1.0,1.0,0.2,10.0,137.0,,1.0
Penjahit Pria,223.5,172.8,2,Lain-lain,1.0,1.0,0.2,10.0,210.0,,1.0
Salon Kecantikan,192.25,101.39,3,Lain-lain,1.0,1.0,0.2,10.0,185.0,,1.0
Penjahit Pakaian,14.75,49.0,2,Lain-lain,1.0,1.0,0.2,5.0,83.0,,1.0
Bordir,7.0,46.0,2,Lain-lain,1.0,1.0,0.3,10.0,158.0,,1.0
Penjahit ,13.0,80.0,3,Lain-lain,1.0,1.0,0.2,10.0,10.0,,1.0
Penjahit,9.8,61.5,4,Lain-lain,1.0,1.0,0.25,5.0,6.0,,1.0
Penjahit Pakaian,41.0,154.0,6,Lain-lain,1.0,1.0,0.25,0.0,250.0,,1.0
Laundri Pakaian,84.0,328.0,4,Lain-lain,1.0,1.0,0.2,0.0,23.0,,1.0
Steam Motor,35.17,40.5,2,Lain-lain,1.0,1.0,0.1,8.0,80.0,,1.0
Jahit Pakaian,151.92,72.0,2,Lain-lain,1.0,1.0,0.3,0.0,125.0,,1.0
Studio Photo Digital,87.28,27.0,2,Lain-lain,1.0,1.0,0.1,9.0,80.0,,1.0
Jasa Salon dan Asesoris,25.0,36.0,1,Lain-lain,1.0,2.0,0.1,5.0,3.0,,2.0
Tailor,38.0,118.0,3,Lain-lain,1.0,1.0,0.2,0.0,23.0,,1.0
Penjahitan,240.0,33.0,1,Lain-lain,1.0,2.0,0.2,0.0,32.0,,1.0
Jasa Menjahit,13.54,123.3,4,Lain-lain,1.0,0.0,0.5,10.0,20.0,,2.0
Cetak Photo,32.0,19.5,2,Lain-lain,1.0,2.0,0.1,10.0,16.0,,1.0
PENJAHIT,13.9,26.7,1,Lain-lain,1.0,2.0,0.2,8.0,40.0,,1.0
Tambal Ban,183.0,20.0,0,Lain-lain,1.0,1.0,0.1,5.0,170.0,,1.0
Tambal Ban,134.0,30.0,0,Lain-lain,1.0,1.0,0.1,10.0,40.0,,1.0
Tambal Ban,93.0,30.0,0,Lain-lain,1.0,1.0,0.1,10.0,30.0,,1.0
LOUNDRY,61.0,140.0,2,Lain-lain,1.0,1.0,0.18,10.0,75.0,,1.0
Menjahit Pakaian,135.0,7.33,2,Lain-lain,3.0,1.0,0.2,8.0,125.0,,2.0
Salon,112.5,93.6,4,Lain-lain,1.0,1.0,0.15,10.0,98.0,,2.0
SALON,55.5,18.0,2,Lain-lain,1.0,0.0,0.1,10.0,55.0,,1.0
Depot Air Minum,635.0,348.0,2,Industri Pengolahan,1.0,2.0,0.2,9.0,530.0,6.0,1.0
Foto Copy,582.0,66.0,3,Industri Pengolahan,1.0,2.0,0.3,0.0,419.0,8.0,1.0
Keripik Pisang,75.0,283.0,5,Industri Pengolahan,2.0,2.0,0.03,10.0,105.0,5.0,1.0
Pembuatan Sangkar Burung,62.0,54.0,3,Industri Pengolahan,3.0,1.0,0.3,6.0,56.0,5.0,1.0
Coping,79.0,52.0,6,Industri Pengolahan,2.0,1.0,0.5,5.0,70.0,3.0,1.0
Bata,24.0,79.0,6,Industri Pengolahan,2.0,1.0,0.3,6.0,60.0,4.0,1.0
Caping,66.0,80.0,4,Industri Pengolahan,1.0,1.0,0.4,8.0,30.0,3.0,1.0
Topi,127.0,68.0,4,Industri Pengolahan,1.0,1.0,0.1,6.0,60.0,4.0,1.0
Percetakan,128.5,285.0,1,Industri Pengolahan,1.0,1.0,0.25,0.0,120.0,7.0,1.0
Manik,139.1,24.6,1,Industri Pengolahan,1.0,2.0,0.1,3.0,160.0,3.0,1.0
Tenun,164.2,59.0,1,Industri Pengolahan,1.0,0.0,0.1,5.0,70.0,3.0,2.0
Tenun,116.95,52.0,1,Industri Pengolahan,1.0,1.0,0.1,5.0,7.0,2.0,2.0
Tenun,99.7,52.0,1,Industri Pengolahan,1.0,2.0,0.1,10.0,90.0,3.0,1.0
Tenun,127.65,45.6,1,Industri Pengolahan,1.0,2.0,0.1,5.0,60.0,3.0,2.0
Tenuninda,152.3,42.3,2,Industri Pengolahan,2.0,0.0,0.1,10.0,73.0,5.0,2.0
Tenun,100.8,85.0,1,Industri Pengolahan,1.0,2.0,0.1,10.0,90.0,3.0,2.0
Tenun,109.4,29.5,1,Industri Pengolahan,1.0,2.0,0.0,5.0,90.0,3.0,2.0
Manik,147.86,41.7,1,Industri Pengolahan,1.0,1.0,0.1,5.0,73.0,6.0,2.0
Tenun,132.0,45.6,1,Industri Pengolahan,2.0,2.0,0.1,5.0,120.0,3.0,2.0
Tenun,144.0,29.5,1,Industri Pengolahan,1.0,2.0,0.1,5.0,70.0,4.0,2.0
Tenun,220.31,44.92,1,Industri Pengolahan,1.0,0.0,0.1,10.0,98.0,6.0,1.0
Tenun,135.52,33.8,3,Industri Pengolahan,1.0,1.0,0.1,10.0,78.0,6.0,1.0
Tenun,168.55,56.1,3,Industri Pengolahan,2.0,0.0,0.1,10.0,88.0,6.0,2.0
Manik,171.9,45.3,1,Industri Pengolahan,1.0,1.0,0.1,5.0,93.0,6.0,2.0
Tenun,159.8,66.0,3,Industri Pengolahan,1.0,2.0,0.1,10.0,80.0,6.0,1.0
Tenun,128.7,29.5,1,Industri Pengolahan,1.0,2.0,0.1,5.0,65.0,3.0,2.0
TENUN,109.7,66.0,1,Industri Pengolahan,1.0,2.0,0.1,5.0,69.0,3.0,2.0
Manik,83.55,29.4,1,Industri Pengolahan,1.0,1.0,0.1,5.0,40.0,3.0,1.0
Manik,15.375,43.4,1,Industri Pengolahan,1.0,2.0,0.1,5.0,8.0,3.0,2.0
Manik,150.085,29.22,1,Industri Pengolahan,1.0,1.0,0.1,5.0,70.0,3.0,2.0
Manik,89.74,26.8,1,Industri Pengolahan,1.0,1.0,0.1,5.0,80.0,3.0,1.0
Manik,107.0,22.8,1,Industri Pengolahan,1.0,2.0,0.1,5.0,60.0,3.0,2.0
Manik,8.5,25.2,1,Industri Pengolahan,1.0,1.0,0.1,5.0,7.0,3.0,2.0
Manik,100.0,24.4,1,Industri Pengolahan,1.0,2.0,0.1,5.0,55.0,4.0,1.0
Tenun,151.93,47.6,3,Industri Pengolahan,2.0,0.0,0.1,10.0,73.0,6.0,2.0
Tenun,178.25,45.2,1,Industri Pengolahan,2.0,0.0,0.1,10.0,105.0,6.0,3.0
Tenun,156.0,47.4,1,Industri Pengolahan,1.0,0.0,0.1,5.0,85.0,4.0,2.0
Tenun,160.2,29.1,1,Industri Pengolahan,1.0,1.0,0.1,6.0,73.0,5.0,2.0
Tenun,166.4,33.0,1,Industri Pengolahan,2.0,0.0,0.1,10.0,78.0,6.0,1.0
Pembuatan Krupuk,103.0,102.0,2,Industri Pengolahan,2.0,1.0,0.1,0.0,0.0,3.0,1.0
Pengolaha Kayu,33.5,180.0,2,Industri Pengolahan,1.0,1.0,0.25,10.0,50.0,5.0,2.0
Jasa Kulit Motor,54.5,10.4,2,Industri Pengolahan,1.0,1.0,0.1,0.0,25.0,3.0,1.0
Industri Mie Ayam,5.0,16.0,2,Industri Pengolahan,1.0,1.0,0.5,0.0,6.0,4.0,1.0
Industri Kerupuk,159.7,315.0,10,Industri Pengolahan,1.0,1.0,0.1,10.0,12.0,6.0,2.0
Produksi Gethuk,12.4,216.0,3,Industri Pengolahan,2.0,2.0,0.05,5.0,4.0,5.0,1.0
Industri,3.03,36.0,2,Industri Pengolahan,1.0,1.0,0.1,10.0,14.0,4.0,1.0
Kusen Pintu Dan Cendela,42.5,240.0,2,Industri Pengolahan,1.0,1.0,0.25,10.0,15.0,6.0,2.0
"Kusen,pintu",90.0,420.0,3,Industri Pengolahan,1.0,1.0,0.25,10.0,185.0,5.0,2.0
PERABOT DAPUR,6.5,90.0,6,Industri Pengolahan,1.0,1.0,0.3,5.0,75.0,3.0,2.0
Tenun,179.53,88.8,1,Industri Pengolahan,1.0,1.0,0.1,10.0,80.0,3.0,2.0
Pengolahan Singkong,12.0,466.0,3,Industri Pengolahan,1.0,0.0,0.1,10.0,10.0,5.0,1.0
Tenun,101.7,38.5,1,Industri Pengolahan,1.0,1.0,0.1,5.0,50.0,3.0,2.0
Manik,156.95,24.6,1,Industri Pengolahan,1.0,2.0,0.1,5.0,166.0,3.0,2.0
"Kusen ,pintu",57.0,264.0,1,Industri Pengolahan,1.0,1.0,0.25,10.0,37.0,4.0,2.0
Kusen Pintu,67.5,192.0,2,Industri Pengolahan,1.0,1.0,0.2,10.0,38.0,4.0,2.0
"Kusen Pintu,cendela",52.5,260.0,2,Industri Pengolahan,1.0,1.0,0.25,10.0,35.0,5.0,2.0
Percetakan,17.0,116.4,2,Industri Pengolahan,1.0,2.0,0.2,10.0,38.0,4.0,1.0
Pengolahan Kayu,65.0,360.0,2,Industri Pengolahan,1.0,1.0,0.25,10.0,10.0,4.0,1.0
Manik,167.875,26.8,1,Industri Pengolahan,2.0,1.0,0.1,5.0,73.0,5.0,2.0
Manik,167.875,26.8,1,Industri Pengolahan,1.0,2.0,0.1,5.0,60.0,3.0,2.0
Tenun,130.25,66.0,1,Industri Pengolahan,2.0,2.0,0.1,5.0,60.0,4.0,2.0
Tenun,150.085,43.4,1,Industri Pengolahan,2.0,1.0,0.1,10.0,73.0,5.0,1.0
Tenun,141.005,29.4,1,Industri Pengolahan,2.0,0.0,0.1,10.0,,5.0,2.0
Tenun,142.805,29.22,1,Industri Pengolahan,2.0,0.0,0.1,5.0,173.0,5.0,2.0
Tenun,157.0,45.6,1,Industri Pengolahan,1.0,2.0,0.1,10.0,775.0,3.0,2.0
PENGOLAHAN KERANG,88.75,60.9,2,Industri Pengolahan,1.0,1.0,0.05,9.0,60.0,6.0,2.0
ES DAWET,114.46,250.0,4,Industri Pengolahan,1.0,1.0,0.1,10.0,9.0,2.0,1.0
ATAP RUMBIA,96.12,51.04,2,Industri Pengolahan,1.0,2.0,0.05,10.0,40.0,5.0,1.0
Industi,213.1,144.0,1,Industri Pengolahan,1.0,1.0,0.1,5.0,10.0,5.0,1.0
Tenun,11.5,52.0,1,Industri Pengolahan,1.0,2.0,0.1,5.0,50.0,2.0,1.0
Tenun,129.0,52.0,1,Industri Pengolahan,1.0,1.0,0.1,5.0,60.0,3.0,2.0
Tenun Samarinda,142.48,53.915,3,Industri Pengolahan,2.0,0.0,0.1,10.0,350.0,5.0,1.0
Manik,209.65,45.88,1,Industri Pengolahan,1.0,2.0,0.1,5.0,127.0,2.0,1.0
Tenun,228.2,53.625,2,Industri Pengolahan,2.0,0.0,0.1,10.0,105.0,5.0,2.0
Manik,189.1,45.04,1,Industri Pengolahan,1.0,1.0,0.1,5.0,93.0,5.0,2.0
Tenun,120.3,45.6,1,Industri Pengolahan,1.0,1.0,0.1,5.0,610.0,2.0,2.0
Tenun,117.55,38.5,1,Industri Pengolahan,1.0,2.0,0.1,5.0,70.0,3.0,2.0
Kusen Pintu Dan Cendela,60.5,240.0,3,Industri Pengolahan,1.0,1.0,0.25,10.0,70.0,7.0,2.0
Pengolahan Kayu,195.0,600.0,11,Industri Pengolahan,1.0,1.0,0.5,0.0,380.0,8.0,2.0
Kusen Pintu Dan Cendela,157.5,330.0,2,Industri Pengolahan,1.0,1.0,0.25,10.0,38.0,5.0,2.0
Air Isi Ulang,159.5,88.0,2,Industri Pengolahan,3.0,0.0,0.1,10.0,45.0,8.0,2.0
Kue-kue Basah,118.5,30.0,12,Industri Pengolahan,3.0,0.0,0.2,10.0,45.0,5.0,1.0
Depo Air Isi Ulang,41.39,189.0,5,Industri Pengolahan,1.0,1.0,0.15,10.0,250.0,9.0,1.0
Tenun,190.85,47.05,1,Industri Pengolahan,1.0,0.0,0.1,10.0,166.0,4.0,2.0
Tenun,172.43,43.62,1,Industri Pengolahan,2.0,1.0,0.1,0.0,213.0,5.0,2.0
Tenun,174.95,44.3,1,Industri Pengolahan,1.0,0.0,0.1,10.0,156.0,4.0,2.0
Tenun,162.38,57.1,1,Industri Pengolahan,1.0,1.0,0.0,10.0,60.0,5.0,2.0
Tenun,162.18,41.2,1,Industri Pengolahan,1.0,0.0,0.1,10.0,,5.0,2.0
Meubel Rotan Kursi,68.0,156.0,4,Industri Pengolahan,2.0,2.0,0.2,0.0,84.0,6.0,2.0
Industri Kecambah,87.4,252.0,3,Industri Pengolahan,1.0,1.0,0.1,8.0,30.0,5.0,1.0
Industri Mainan,33.7,91.2,1,Industri Pengolahan,2.0,1.0,0.1,7.0,6.0,5.0,1.0
Industri Keripik,90.78,11.1,1,Industri Pengolahan,3.0,1.0,0.05,,90.0,5.0,1.0
Batik Tulis,47.0,142.0,15,Industri Pengolahan,2.0,1.0,0.1,10.0,80.0,3.0,0.0
Krupuk Kulit,124.0,148.0,3,Industri Pengolahan,2.0,0.0,0.05,5.0,155.0,6.0,1.0
Sagon,60.0,96.0,22,Industri Pengolahan,1.0,1.0,0.1,5.0,28.0,4.0,1.0
Kaos,40.0,116.0,3,Industri Pengolahan,1.0,0.0,0.05,8.0,33.0,4.0,1.0
Krecek Kulit,173.5,148.0,2,Industri Pengolahan,3.0,1.0,0.05,5.0,170.0,4.0,1.0
Genteng ,96.0,176.0,4,Industri Pengolahan,3.0,0.0,0.05,8.0,87.0,4.0,1.0
Sale Pisang,69.0,260.0,3,Industri Pengolahan,3.0,0.0,0.15,5.0,75.0,5.0,1.0
Foto Copy,245.0,446.0,1,Industri Pengolahan,1.0,2.0,0.2,0.0,110.0,7.0,1.0
Kerajinan Gerabah,38.6,22.05,2,Industri Pengolahan,1.0,1.0,0.3,7.0,52.0,7.0,2.0
Kerajinan Gerabah,39.0,21.75,1,Industri Pengolahan,1.0,0.0,0.3,7.0,7.0,6.0,1.0
Pembuatan Pagar Besi Dan Canopy,422.0,124.0,5,Industri Pengolahan,1.0,1.0,0.2,5.0,390.0,5.0,2.0
Panglong,219.0,840.0,2,Industri Pengolahan,1.0,1.0,0.1,10.0,108.0,4.0,2.0
Kerajinan Eceng Gondok,212.75,21.0,3,Industri Pengolahan,3.0,1.0,0.15,9.0,200.0,4.0,2.0
Pembuatan Tahu - Tempe ,121.0,768.0,5,Industri Pengolahan,2.0,2.0,0.25,0.0,171.0,8.0,1.0
Depot Air,631.0,61.0,1,Industri Pengolahan,1.0,2.0,0.2,0.0,600.0,6.0,1.0
Foto Copy,70.0,110.0,1,Industri Pengolahan,1.0,2.0,0.2,0.0,15.0,6.0,1.0
Foto Copy,141.0,50.0,1,Industri Pengolahan,1.0,1.0,0.2,0.0,40.0,7.0,1.0
Produksi Sale Pisang Basah,137.0,50.0,6,Industri Pengolahan,3.0,1.0,0.2,9.0,107.0,5.0,2.0
Pembuatan Gorong-Gorong,109.7,621.0,7,Industri Pengolahan,1.0,0.0,0.1,0.0,70.0,7.0,2.0
Pembuatan Gorong-Gorong,336.0,117.0,8,Industri Pengolahan,1.0,1.0,0.1,10.0,320.0,5.0,2.0
Pembuatan Kain Sutera,268.8,43.2,3,Industri Pengolahan,1.0,1.0,0.1,10.0,70.0,5.0,3.0
Pembuatan Anyaman,13.13,116.0,4,Industri Pengolahan,1.0,2.0,0.1,10.0,35.0,5.0,1.0
Pembuatan Meubel,37.0,166.0,4,Industri Pengolahan,1.0,1.0,0.1,10.0,90.0,4.0,2.0
Pembuatan Keripik,20.65,19.6,3,Industri Pengolahan,1.0,2.0,0.3,5.0,30.0,3.0,1.0
Pembuatan Kain Sutera,36.5,64.0,2,Industri Pengolahan,1.0,2.0,0.1,10.0,25.0,2.0,1.0
Pembuatan Meubel,61.0,95.0,2,Industri Pengolahan,1.0,0.0,0.15,10.0,60.0,3.0,1.0
Pembuatan Pot,13.02,13.2,7,Industri Pengolahan,1.0,1.0,0.3,5.0,40.0,3.0,2.0
Pembuatan Pagar dan Teralis,63.0,68.0,6,Industri Pengolahan,1.0,1.0,0.2,0.0,0.0,3.0,2.0
Pembuatan Batu Bata,71.0,235.0,10,Industri Pengolahan,1.0,1.0,0.3,0.0,69.0,3.0,3.0
Pembuatan Keripik Belut,32.32,265.2,3,Industri Pengolahan,3.0,2.0,0.5,9.0,155.0,5.0,2.0
