Nama Perusahaan/Nama Pengusaha,Usaha /Produk Utama,Total Aset (Rp. Juta),Penjualan Rata-rata Per Tahun (Rp.Juta),Jumlah Tenaga Kerja,Tahun Survey,Onclick,Sektor
 Kue Piya Bu Sri,Kue Pia,22,"94,6",2,2014,?pm=xYjmTLUP9eDBrE3W48BOFw==&mp=xI6rAeQkygTAn3Z625IGLg==,Industri Pengolahan
 Empek Empek Mbak Lulu,Mpek - Mpek,"25,5","168,48",1,2014,?pm=g17v38/4dpKgquSmVYRJtw==&mp=xI6rAeQkygTAn3Z625IGLg==,Industri Pengolahan
 Anisa Foto Copy,Foto Copy,245,446,1,2012,?pm=+Sa7alKSTgEdmyTmGgRKLg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Industri Pengolahan
 Altje,Kerajinan Gerabah,"38,6","22,05",2,2009,?pm=hd9zb9B/AKNoPXKMhy5DwQ==&mp=2BbfzMJpZb2nANZ3GT30ng==,Industri Pengolahan
 Selvi,Kerajinan Gerabah,39,"21,75",1,2009,?pm=nQJajlUMo79ljZOVqXopng==&mp=2BbfzMJpZb2nANZ3GT30ng==,Industri Pengolahan
 Harapan Jaya,Pembuatan Pagar Besi Dan Canopy,422,124,5,2011,?pm=xlfw959zZnWkocI8ZRTHVA==&mp=Bjv3m4lcInn46OWc4jy6kQ==,Industri Pengolahan
 Darma Agung,Panglong,219,840,2,2010,?pm=lIEwGtmzQVDSesYe4ZpZ4Q==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Industri Pengolahan
 Kerajina Eceng Gondok Rama 21,Kerajinan Eceng Gondok,"212,75",21,3,2010,?pm=9+ohnTKa1i3XqdFOM2jxug==&mp=JHuIBacQ7Iz+a8xx8lclUA==,Industri Pengolahan
 Pabrik Tahu Fanindi ,Pembuatan Tahu - Tempe ,121,768,5,2012,?pm=JLodWwp/LJ/wq/K93TRLHw==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Industri Pengolahan
 Depot Air Fransiska,Depot Air,631,61,1,2012,?pm=BppipMstIe6jFjiduwjQBQ==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Industri Pengolahan
 Darul Foto Copy,Foto Copy,70,110,1,2012,?pm=S9PXyylEisOi8Ze91OQS1w==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Industri Pengolahan
 Foto Copy Restu Alam,Foto Copy,141,50,1,2012,?pm=GKrwL6dqfEWrE8OTmn+6Gg==&mp=p1ca+Y2BZCwOZVEqm2oXjA==,Industri Pengolahan
 RIZKY Sale Pisang Basah,Produksi Sale Pisang Basah,137,50,6,2013,?pm=uoUPWSdfMX/bCMrptyyniw==&mp=fOhzApotY5QnAtxxXvjAfA==,Industri Pengolahan
 UD.Mayumi,Pembuatan Gorong-Gorong,"109,7",621,7,2008,?pm=b8xJnycCe/wE5AF01IpetA==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Industri Pengolahan
 Usaha Gorong-Gorong Dg.Sami,Pembuatan Gorong-Gorong,336,117,8,2008,?pm=MD6OMj8NNYEJSRu9WEajag==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Industri Pengolahan
 Usaha Tenun Sutera Dg.Basse,Pembuatan Kain Sutera,"268,8","43,2",3,2008,?pm=GniYlUCtmpqs081wJlTSuw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Industri Pengolahan
 Anyaman Bambu Dg.Nambung,Pembuatan Anyaman,"13,13",116,4,2008,?pm=KzQB/rvM0vphXNajy84CgA==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Industri Pengolahan
 Meubel Gaffar Dg. Ngalle,Pembuatan Meubel,37,166,4,2008,?pm=U6V2pkAzTuTHgL7DUd7Fwg==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Industri Pengolahan
 Usaha Kripik Ubi Dg. Rani,Pembuatan Keripik,"20,65","19,6",3,2008,?pm=NvEhGhfWb80oh+E596Ev8A==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Industri Pengolahan
 Usaha Sarung Sutera Sunggu,Pembuatan Kain Sutera,"36,5",64,2,2008,?pm=kCDqyLB4l4LHn6vzW3zNWA==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Industri Pengolahan
 Meubel Kahar,Pembuatan Meubel,61,95,2,2008,?pm=tokzJpz0mjgLtrdc55lQUA==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Industri Pengolahan
 Keramik Tunas MUDa,Pembuatan Pot,"13,02","13,2",7,2008,?pm=N869+EaHsfpRgE+5WqK1vw==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Industri Pengolahan
 Bengkel Las Hasan Jaya,Pembuatan Pagar dan Teralis,63,68,6,2008,?pm=fX/T4fXcBwNCzUA/Bjr82A==&mp=LhrIHvxx5uWPOvZTrS6CKw==,Industri Pengolahan
